"","gender","age","education","income","treat","outcome"
"1",0,21,8,2284.2227747566,1,1538.80152697031
"2",0,21,13,669.920161269664,1,856.430949784455
"3",1,55,10,2568.26627086527,0,6960.39887597531
"4",0,46,12,2210.88638796462,0,3368.12723392003
"5",0,20,6,2675.04129857872,1,1720.93890683758
"6",0,55,13,2551.87844254286,1,4370.26447650335
"7",1,80,15,2323.52305488132,1,9938.03387990282
"8",0,49,12,2087.81790510348,1,3567.89574833259
"9",1,52,14,2326.77889335936,0,6366.24612894034
"10",0,46,17,1967.25484811532,1,3211.15282158334
"11",1,55,19,2322.76108633361,0,6904.08561214009
"12",1,77,16,2182.14701833712,0,9452.95276113496
"13",0,67,15,2421.72078406815,0,5902.17450841176
"14",0,30,10,1661.76056716754,0,1897.95221516769
"15",1,26,15,1804.28354846146,0,3656.72318273297
"16",1,53,7,2202.4703220353,0,6101.93224429589
"17",0,37,11,1446.57065234061,0,2184.54239750808
"18",0,53,16,1808.34979599554,0,4018.2744661074
"19",0,46,16,2147.01012412557,1,3234.63590081159
"20",1,53,13,2896.53033403627,1,7182.31315443868
"21",1,37,6,2407.01608553543,1,4938.98290797315
"22",1,63,16,1339.98780201252,1,6050.02912246272
"23",1,63,13,1072.27738651525,1,5597.67464750497
"24",1,46,15,1490.71764252839,1,4457.48737712499
"25",0,23,16,1477.44445676551,0,1595.66146695172
"26",0,66,13,1674.35617331886,0,5310.17520962569
"27",1,52,16,2191.34132666844,1,6067.82009243008
"28",1,55,13,2515.94985517475,0,7022.66347214067
"29",1,80,20,2065.53748679804,0,9797.60988602659
"30",0,80,14,2188.59586691915,0,7637.96909355959
"31",0,23,16,1056.1524589914,0,1354.74672706293
"32",1,56,7,2260.1097015121,1,6581.09467485965
"33",0,49,10,2429.57658070364,1,3719.99115690983
"34",1,18,17,1598.75567245507,0,3019.76902959863
"35",1,48,19,1754.01974170389,1,5191.3392121173
"36",1,60,19,1894.52284103702,0,6791.92383874596
"37",0,59,10,1768.16169557389,0,4459.66831074071
"38",1,18,16,2149.73978360311,0,3786.72384802101
"39",1,75,14,1697.26308666267,0,8383.24684907274
"40",0,39,14,1780.49393259032,1,2408.59975535275
"41",0,23,6,1639.62318493296,0,1377.32686497953
"42",1,21,13,2390.40251517607,0,4148.99421134297
"43",1,39,15,1388.85786211202,1,3730.70744620071
"44",1,66,19,2445.59701820937,0,8426.23734154036
"45",1,37,14,2126.96142144277,0,4733.92911895327
"46",0,68,19,1967.09178667004,1,5816.66239528053
"47",1,38,16,2100.73301617899,0,4859.94921194286
"48",1,25,11,3238.85025692269,0,5659.95397215366
"49",0,57,9,2235.87639735563,0,4418.58295311981
"50",0,28,14,2663.09904137217,0,2224.63785454537
"51",0,45,17,2334.2992425416,1,3369.33319269675
"52",0,41,20,1931.30279333422,0,3037.31857583581
"53",0,57,20,1294.41415185677,1,4128.17491506752
"54",0,76,16,2600.18155240814,1,7202.49870965636
"55",1,48,6,2149.54505392962,0,5614.42937338861
"56",0,26,17,2228.11344126166,0,2047.00338935378
"57",0,31,19,2219.03922208525,0,2444.07146137495
"58",0,55,8,1892.48943095099,0,4063.99648751433
"59",1,78,6,1843.93876197194,1,8836.15703311554
"60",0,57,10,1653.68479046256,0,4218.70657024623
"61",0,68,12,801.885158343482,0,5224.18669952679
"62",1,67,15,1207.86253317603,0,6405.53253575872
"63",1,41,7,2879.37411667919,0,6014.0129259021
"64",1,48,9,818.556605673235,1,3573.7573761179
"65",0,56,8,2196.58603380324,1,4352.16761856296
"66",0,29,14,2282.96893230632,1,2024.06972317797
"67",0,48,15,1478.00481473865,1,3209.81471376445
"68",0,36,8,2511.55664633144,1,2649.07257087826
"69",0,23,6,1743.66799298976,0,1387.42076602736
"70",1,21,14,2023.8683374032,0,3661.43161057554
"71",0,37,13,2696.43849857308,1,2794.6140826393
"72",0,75,18,1783.75043704572,1,6698.67586651525
"73",1,20,12,1932.41608194355,1,3273.65215413295
"74",1,35,13,2648.86757504227,0,5201.26225230933
"75",1,80,8,1964.63675813619,1,9426.0592317831
"76",1,36,6,1789.58590299786,1,4000.23642423673
"77",1,67,16,2570.67017868617,1,8460.07751736235
"78",1,49,6,1786.4367578818,1,5115.87484386739
"79",1,79,6,2697.83480323745,0,10331.2199663649
"80",0,24,10,1851.9064152709,0,1648.97639431279
"81",0,79,9,2291.32980527116,0,7356.76980667403
"82",1,36,10,661.885324394487,1,2249.15004877692
"83",1,43,16,1299.66049528273,1,4011.09608742211
"84",1,67,20,3652.07555540615,1,10083.4885257694
"85",0,55,12,2428.38877066084,1,4224.33474336951
"86",1,64,19,2580.5082226033,1,8145.93059105146
"87",1,65,11,2139.46844289649,1,7497.99288545819
"88",0,79,17,1993.22575213251,1,7308.99670425974
"89",0,65,14,661.810556571571,1,4632.93504325712
"90",1,49,9,2060.65722721371,1,5561.32819148591
"91",1,43,14,1749.72837895323,0,4639.2464506631
"92",0,73,16,2689.83895549243,1,6798.45850093255
"93",0,20,17,1797.00667099706,1,1509.70052754377
"94",0,30,13,2697.96597226752,1,2295.09588302124
"95",1,52,13,2369.29807773117,0,6454.60685001362
"96",0,54,14,2368.30707638452,1,4112.72064320519
"97",1,35,15,1633.45602318169,0,3873.84762964194
"98",0,51,9,1050.80197505704,1,3270.08919920807
"99",0,34,6,2222.93965069337,1,2306.65623832268
"100",1,47,7,2228.13043107984,1,5626.12343301191
