year,foreignpop,sortcountry
1985,4,1
1986,4.1,1
1987,4.3,1
1988,4.5,1
1989,5.1,1
1990,5.9,1
1991,6.8,1
1992,7.9,1
1993,8.6,1
1994,9.9,1
1995,9,1
1996,9,1
1997,9.1,1
1998,9.1,1
1999,9.2,1
2000,9.3,1
1985,8.6,2
1986,8.6,2
1987,8.7,2
1988,8.8,2
1989,8.9,2
1990,9.1,2
1991,9.2,2
1992,9,2
1993,9.1,2
1994,9.1,2
1995,9,2
1996,9,2
1997,8.9,2
1998,8.7,2
1999,8.8,2
2000,8.4,2
1985,2.3,5
1986,2.5,5
1987,2.7,5
1988,2.8,5
1989,2.9,5
1990,3.1,5
1991,3.3,5
1992,3.5,5
1993,3.6,5
1994,3.8,5
1995,4.2,5
1996,4.7,5
1997,4.7,5
1998,4.8,5
1999,4.9,5
2000,4.8,5
1985,0.3,7
1986,0.4,7
1987,0.4,7
1988,0.4,7
1989,0.4,7
1990,0.5,7
1991,0.8,7
1992,0.9,7
1993,1.1,7
1994,1.2,7
1995,1.3,7
1996,1.4,7
1997,1.6,7
1998,1.6,7
1999,1.7,7
2000,1.8,7
1985,7.2,4
1986,7.4,4
1987,6.9,4
1988,7.3,4
1989,7.7,4
1990,8.4,4
1991,7.3,4
1992,8,4
1993,8.5,4
1994,8.6,4
1995,8.8,4
1996,8.9,4
1997,9,4
1998,8.9,4
1999,8.9,4
2000,8.9,4
1985,0.7,10
1986,0.8,10
1987,1,10
1988,1.1,10
1989,0.9,10
1990,1.4,10
1991,1.5,10
1992,1.6,10
1993,1.7,10
1994,1.6,10
1995,1.7,10
1996,2,10
1997,2.1,10
1998,2.1,10
1999,2.2,10
2000,2.4,10
1985,3.8,12
1986,3.9,12
1987,4,12
1988,4.2,12
1989,4.3,12
1990,4.6,12
1991,4.8,12
1992,5,12
1993,5.1,12
1994,5,12
1995,4.7,12
1996,4.4,12
1997,4.3,12
1998,4.2,12
1999,4.1,12
2000,4.2,12
1985,2.4,13
1986,2.6,13
1987,2.9,13
1988,3.2,13
1989,3.3,13
1990,3.4,13
1991,3.5,13
1992,3.6,13
1993,3.8,13
1994,3.8,13
1995,3.7,13
1996,3.6,13
1997,3.6,13
1998,3.7,13
1999,4,13
2000,4.1,13
1985,NA,14
1986,NA,14
1987,NA,14
1988,1,14
1989,1,14
1990,1.1,14
1991,1.2,14
1992,1.3,14
1993,1.3,14
1994,1.6,14
1995,1.7,14
1996,1.7,14
1997,1.8,14
1998,1.8,14
1999,1.9,14
2000,2.1,14
1985,0.6,6
1986,0.8,6
1987,0.9,6
1988,0.9,6
1989,0.6,6
1990,0.7,6
1991,0.9,6
1992,1,6
1993,1.1,6
1994,1.2,6
1995,1.3,6
1996,1.4,6
1997,1.6,6
1998,1.8,6
1999,2,6
2000,2.2,6
1985,4.6,15
1986,4.7,15
1987,4.8,15
1988,5,15
1989,5.3,15
1990,5.6,15
1991,5.7,15
1992,5.7,15
1993,5.8,15
1994,6.1,15
1995,5.2,15
1996,6,15
1997,6,15
1998,5.6,15
1999,5.5,15
2000,5.4,15
1985,NA,3
1986,NA,3
1987,NA,3
1988,NA,3
1989,NA,3
1990,NA,3
1991,7.3,3
1992,8,3
1993,8.5,3
1994,8.6,3
1995,8.8,3
1996,8.9,3
1997,9,3
1998,8.9,3
1999,8.9,3
2000,8.9,3
1985,NA,11
1986,NA,11
1987,NA,11
1988,NA,11
1989,NA,11
1990,NA,11
1991,NA,11
1992,NA,11
1993,NA,11
1994,NA,11
1995,NA,11
1996,NA,11
1997,NA,11
1998,NA,11
1999,NA,11
2000,NA,11
1985,NA,8
1986,NA,8
1987,NA,8
1988,NA,8
1989,NA,8
1990,NA,8
1991,NA,8
1992,NA,8
1993,NA,8
1994,NA,8
1995,NA,8
1996,NA,8
1997,NA,8
1998,NA,8
1999,NA,8
2000,NA,8
