Year,Migration,AT,BE,DK,FI,FR,DE-E,DE-W,GR,IT,NL,NO,PT,ES,SE,LU,sortcountry
1980,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1981,3.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1982,-3.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1983,-0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1984,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1985,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1986,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1987,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1988,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1989,5.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1990,7.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1991,9.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1992,9.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1993,4.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1994,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1995,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1996,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1997,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1998,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1999,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000,2.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2001,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1980,-0.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1981,-0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1982,-0.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1983,-0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1984,-0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1985,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1986,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1987,-0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1988,1.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1989,2.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1990,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1991,3.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1992,3.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1993,2.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1994,2.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1995,2.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1996,2.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1997,1.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1998,2.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1999,2.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2000,2.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2001,3.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2002,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1980,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
1981,-0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
1982,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
1983,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
1984,0.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
1985,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
1986,2.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
1987,1.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
1988,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
1989,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
1990,1.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
1991,2.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
1992,2.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
1993,2.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
1994,1.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
1995,5.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
1996,3.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
1997,2.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
1998,2.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
1999,1.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
2000,1.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
2001,2.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
2002,1.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
1980,-0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
1981,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
1982,1.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
1983,1.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
1984,0.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
1985,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
1986,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
1987,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
1988,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
1989,1.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
1990,1.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
1991,2.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
1992,1.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
1993,1.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
1994,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
1995,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
1996,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
1997,0.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
1998,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
1999,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
2000,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
