"","gender","age","education","income","treat","outcome"
"1",0,21,8,2284.2227747566,1,2613068.84235836
"2",0,21,13,669.920161269664,1,228681.011237786
"3",1,55,10,2568.26627086527,0,9905087.45709633
"4",0,46,12,2210.88638796462,0,2453353.31024363
"5",0,20,6,2675.04129857872,1,3581940.97455087
"6",0,55,13,2551.87844254286,1,3267126.29275749
"7",1,80,15,2323.52305488132,1,8114251.57984756
"8",0,49,12,2087.81790510348,1,2189363.80243535
"9",1,52,14,2326.77889335936,0,8131446.02787389
"10",0,46,17,1967.25484811532,1,1944390.31871661
"11",1,55,19,2322.76108633361,0,8104189.59627853
"12",1,77,16,2182.14701833712,0,7158304.41445638
"13",0,67,15,2421.72078406815,0,2945990.77799383
"14",0,30,10,1661.76056716754,0,1386824.09129649
"15",1,26,15,1804.28354846146,0,4888583.68487303
"16",1,53,7,2202.4703220353,0,7286962.2791694
"17",0,37,11,1446.57065234061,0,1053804.32610657
"18",0,53,16,1808.34979599554,0,1645920.49233856
"19",0,46,16,2147.01012412557,1,2314154.23654884
"20",1,53,13,2896.53033403627,1,12595516.4639884
"21",1,37,6,2407.01608553543,1,8698007.65403947
"22",1,63,16,1339.98780201252,1,2706078.96431351
"23",1,63,13,1072.27738651525,1,1737352.69044796
"24",1,46,15,1490.71764252839,1,3342671.13461811
"25",0,23,16,1477.44445676551,0,1096277.06141356
"26",0,66,13,1674.35617331886,0,1415103.29756549
"27",1,52,16,2191.34132666844,1,7213493.21494752
"28",1,55,13,2515.94985517475,0,9506174.51063076
"29",1,80,20,2065.53748679804,0,6416067.66405194
"30",0,80,14,2188.59586691915,0,2411171.93434779
"31",0,23,16,1056.1524589914,0,562585.008316789
"32",1,56,7,2260.1097015121,1,7673368.2943037
"33",0,49,10,2429.57658070364,1,2961271.1807518
"34",1,18,17,1598.75567245507,0,3837918.55031088
"35",1,48,19,1754.01974170389,1,4624658.38143046
"36",1,60,19,1894.52284103702,0,5396186.19281645
"37",0,59,10,1768.16169557389,0,1575097.89084737
"38",1,18,16,2149.73978360311,0,6935927.70580889
"39",1,75,14,1697.26308666267,0,4336248.97802152
"40",0,39,14,1780.49393259032,1,1592977.32199547
"41",0,23,6,1639.62318493296,0,1348818.09428485
"42",1,21,13,2390.40251517607,0,8575405.27684013
"43",1,39,15,1388.85786211202,1,2901301.74172554
"44",1,66,19,2445.59701820937,0,8984978.16321182
"45",1,37,14,2126.96142144277,0,6793543.33245875
"46",0,68,19,1967.09178667004,1,1948505.54859236
"47",1,38,16,2100.73301617899,0,6627474.80789669
"48",1,25,11,3238.85025692269,0,15740347.4801523
"49",0,57,9,2235.87639735563,0,2511052.632126
"50",0,28,14,2663.09904137217,0,3551844.25207867
"51",0,45,17,2334.2992425416,1,2733620.97686515
"52",0,41,20,1931.30279333422,0,1873565.23977029
"53",0,57,20,1294.41415185677,1,849353.998263536
"54",0,76,16,2600.18155240814,1,3395800.05274179
"55",1,48,6,2149.54505392962,0,6940451.90830995
"56",0,26,17,2228.11344126166,0,2487733.75356545
"57",0,31,19,2219.03922208525,0,2468628.53457636
"58",0,55,8,1892.48943095099,0,1801822.1231306
"59",1,78,6,1843.93876197194,1,5115783.23685391
"60",0,57,10,1653.68479046256,0,1378836.6931036
"61",0,68,12,801.885158343482,0,335253.903585775
"62",1,67,15,1207.86253317603,0,2202022.84857563
"63",1,41,7,2879.37411667919,0,12444441.9557031
"64",1,48,9,818.556605673235,1,1014692.87503693
"65",0,56,8,2196.58603380324,1,2423727.10194972
"66",0,29,14,2282.96893230632,1,2611871.57293792
"67",0,48,15,1478.00481473865,1,1101961.61619532
"68",0,36,8,2511.55664633144,1,3161190.39386582
"69",0,23,6,1743.66799298976,0,1524825.03488847
"70",1,21,14,2023.8683374032,0,6148460.57071477
"71",0,37,13,2696.43849857308,1,3642874.78829353
"72",0,75,18,1783.75043704572,1,1606044.8108304
"73",1,20,12,1932.41608194355,1,5605419.8706311
"74",1,35,13,2648.86757504227,0,10531918.1451655
"75",1,80,8,1964.63675813619,1,5805728.3871298
"76",1,36,6,1789.58590299786,1,4811144.556313
"77",1,67,16,2570.67017868617,1,9926045.75137956
"78",1,49,6,1786.4367578818,1,4796852.43486684
"79",1,79,6,2697.83480323745,0,10933304.9383389
"80",0,24,10,1851.9064152709,0,1719678.68546077
"81",0,79,9,2291.32980527116,0,2640977.13826199
"82",1,36,10,661.885324394487,1,664388.273973192
"83",1,43,16,1299.66049528273,1,2542404.10449785
"84",1,67,20,3652.07555540615,1,20020083.7935927
"85",0,55,12,2428.38877066084,1,2959608.01073584
"86",1,64,19,2580.5082226033,1,10001514.5303849
"87",1,65,11,2139.46844289649,1,6879048.3272249
"88",0,79,17,1993.22575213251,1,2002418.9494821
"89",0,65,14,661.810556571571,1,232094.606394787
"90",1,49,9,2060.65722721371,1,6379302.81210211
"91",1,43,14,1749.72837895323,0,4601120.10017146
"92",0,73,16,2689.83895549243,1,3632344.8032423
"93",0,20,17,1797.00667099706,1,1618760.98780397
"94",0,30,13,2697.96597226752,1,3645594.69375671
"95",1,52,13,2369.29807773117,0,8430929.0717109
"96",0,54,14,2368.30707638452,1,2815337.20402651
"97",1,35,15,1633.45602318169,0,4009492.86950281
"98",0,51,9,1050.80197505704,1,562332.895391893
"99",0,34,6,2222.93965069337,1,2477548.34531238
"100",1,47,7,2228.13043107984,1,7456272.32685604
